ccn,facility_name,parent_system,facilities_in_system,state,city,beds,has_ED,has_behavioral_unit,hos_majteach,hos_highdpp,hos_highuc,mandate_name,mandate_status,mandate_scope,effective_date,edm_seed_title,fit_pass,acute_need,event,gravity,forge_total,forge_tier,forge_rationale,is_qso_candidate,edm_seed_redacted
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,Franciscan Missionaries of Our Lady Health System,11,LA,Baton Rouge,976,True,True,1,1,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,Chief Executive Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=3 (Chief Executive Officer at 976-bed system facility (11-facility)),True,True
310009,CLARA MAASS MEDICAL CENTER,RWJBarnabas Health,16,NJ,Belleville,472,True,True,0,0,1,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,President/CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=3 (President/CEO at 472-bed system facility (16-facility)),True,True
330101,NEW YORK-PRESBYTERIAN HOSPITAL,New York Presbyterian Healthcare System,8,NY,New York,2262,True,True,1,1,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,"Group SVP, CFO",True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=3 (Group SVP, CFO at 2262-bed system facility (8-facility))",True,True
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,Christus Health,32,TX,Corpus Christi,1040,True,True,0,0,1,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,CEO,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=3 (CEO at 1040-bed system facility (32-facility))",True,True
500064,HARBORVIEW MEDICAL CENTER,UW Medicine,4,WA,Seattle,413,True,True,1,1,0,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,Interim CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=3 (Interim CEO at 413-bed system facility (4-facility)),True,True
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,Banner Health,33,AZ,Phoenix,766,True,True,1,1,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (CEO at 766-bed system facility (33-facility)),False,True
030006,TUCSON MEDICAL CENTER,TMC Healthcare,3,AZ,Tucson,596,True,True,0,0,1,ARS §36-420.03 (SB1311),In force,state,2023-07-01,CFO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (CFO at 596-bed system facility (3-facility)),False,True
030023,FLAGSTAFF MEDICAL CENTER,Northern Arizona Healthcare,2,AZ,Flagstaff,264,True,True,0,1,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,Chief Operating Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (Chief Operating Officer at 264-bed system facility (2-facility)),False,True
050022,RIVERSIDE COMMUNITY HOSPITAL,HCA Healthcare,185,CA,Riverside,517,True,True,1,1,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,Chief Executive Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=3 (Chief Executive Officer at 517-bed system facility (185-facility)),False,True
050026,GROSSMONT HOSPITAL,Sharp Healthcare,6,CA,El Cajon,536,True,True,0,1,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,Director of finance,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=3 (Director of finance at 536-bed system facility (6-facility)),False,True
050036,BAKERSFIELD MEMORIAL HOSPITAL,CommonSpirit Health,145,CA,Bakersfield,366,True,True,0,1,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,President,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=3 (President at 366-bed system facility (145-facility)),False,True
060001,BANNER NORTH COLORADO MEDICAL CENTER,Banner Health,33,CO,Greeley,378,True,True,1,1,0,SB25-166,Upcoming,state,2026-07-01,President,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (SB25-166 Upcoming ≤12mo (2026-07-01)) · Gravity=3 (President at 378-bed system facility (33-facility)),False,True
060024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,University of Colorado Health,12,CO,Aurora,858,True,True,1,1,0,SB25-166,Upcoming,state,2026-07-01,CFO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (SB25-166 Upcoming ≤12mo (2026-07-01)) · Gravity=3 (CFO at 858-bed system facility (12-facility)),False,True
060064,AdventHealth Porter,AdventHealth,42,CO,Denver,368,True,True,0,0,1,SB25-166,Upcoming,state,2026-07-01,CFO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (SB25-166 Upcoming ≤12mo (2026-07-01)) · Gravity=3 (CFO at 368-bed system facility (42-facility)),False,True
070028,ST VINCENT'S MEDICAL CENTER,Hartford Healthcare,10,CT,Bridgeport,397,True,True,0,0,1,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,VP Finance,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=3 (VP Finance at 397-bed system facility (10-facility)),False,True
140018,MT SINAI HOSPITAL MEDICAL CENTER,Sinai Health System,4,IL,Chicago,431,True,True,1,1,0,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,program director,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=3 (program director at 431-bed system facility (4-facility)),False,True
140048,ADVOCATE TRINITY HOSPITAL,Advocate Health,58,IL,Chicago,263,True,False,0,0,1,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,VP Managed Health,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=3 (VP Managed Health at 263-bed system facility (58-facility)),False,True
140049,WEST SUBURBAN MEDICAL CENTER,Pipeline Health,7,IL,Oak Park,287,False,False,0,1,1,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,"System Director, Patient Financial",True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=3 (System Director, Patient Financial at 287-bed system facility (7-facility))",False,True
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,LCMC Health System,11,LA,New Orleans,446,True,True,1,1,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=3 (CEO at 446-bed system facility (11-facility)),False,True
190026,RAPIDES REGIONAL MEDICAL CENTER,HCA Healthcare,185,LA,Alexandria,346,True,True,0,1,1,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,CFO,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=3 (CFO at 346-bed system facility (185-facility))",False,True
190036,OCHSNER MEDICAL CENTER ACUTE,Ochsner Health System,36,LA,New Orleans,959,True,True,1,1,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,EVP and CFO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=3 (EVP and CFO at 959-bed system facility (36-facility)),False,True
210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,University of Maryland Medical System,13,MD,Baltimore,816,True,False,1,1,0,Davis Martinez Public Employee Safety & Health Act,Upcoming,state,2026-10-01,Credentialing Coordinator,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Davis Martinez Public Employee Safety &  Upcoming ≤12mo (2026-10-01)) · Gravity=3 (Credentialing Coordinator at 816-bed system facility (13-facility)),False,True
310002,NEWARK BETH ISRAEL MEDICAL CENTER,RWJBarnabas Health,16,NJ,Newark,665,True,True,1,1,1,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,Director/NICU,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=3 (Director/NICU at 665-bed system facility (16-facility))",False,True
310016,HEIGHTS UNIVERSITY HOSPITAL,Carepoint Health,3,NJ,Jersey City,401,False,True,0,1,1,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,System Director of Medical Staff,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=3 (System Director of Medical Staff at 401-bed system facility (3-facility))",False,True
330014,JAMAICA HOSPITAL MEDICAL CENTER,Medisys Health Network,2,NY,Richmond Hill,424,True,True,1,1,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,CFO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=3 (CFO at 424-bed system facility (2-facility)),False,True
330027,NASSAU UNIVERSITY MEDICAL CENTER,Northwell Health,19,NY,East Meadow,530,True,True,1,1,1,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,Chief Financial Officer,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=3 (Chief Financial Officer at 530-bed system facility (19-facility))",False,True
330059,MONTEFIORE MEDICAL CENTER,Montefiore Medical Center,8,NY,Bronx,1491,True,True,1,1,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,Associate Director of Attending Ser,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=3 (Associate Director of Attending Ser at 1491-bed system facility (8-facility)),False,True
380018,ASANTE ROGUE REGIONAL MEDICAL CENTER,Asante Health System,3,OR,Medford,378,True,True,0,1,0,ORS 654.412 (HB2022) + SB537 (2025),In force,state,2026-01-01,Chief Finance Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ORS 654.412 (HB2022) + SB537 (2025) In force) · Gravity=3 (Chief Finance Officer at 378-bed system facility (3-facility)),False,True
450029,LAREDO MEDICAL CENTER,Community Health Systems,81,TX,Laredo,326,True,False,0,1,1,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,Director/Delegated Official,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=3 (Director/Delegated Official at 326-bed system facility (81-facility))",False,True
450033,VHS HARLINGEN HOSPITAL COMPANY LLC,Tenet Healthcare,77,TX,Harlingen,578,True,True,0,1,0,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,CFO,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=3 (CFO at 578-bed system facility (77-facility))",False,True
500011,HIGHLINE MEDICAL CENTER,CommonSpirit Health,145,WA,Burien,279,True,True,0,0,1,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,COO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=3 (COO at 279-bed system facility (145-facility)),False,True
500044,DEACONESS MEDICAL CENTER,Multicare Health System,11,WA,Spokane,388,True,True,0,1,0,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,Director Patient Financial Services,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=3 (Director Patient Financial Services at 388-bed system facility (11-facility)),False,True
070005,WATERBURY HOSPITAL,Prospect Medical Holdings,13,CT,Waterbury,357,True,True,0,0,0,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,Chief Financial Officer,True,2,3,3,18,A,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=3 (Chief Financial Officer at 357-bed system facility (13-facility)),False,True
070007,LAWRENCE & MEMORIAL HOSPITAL,Yale New Haven Health System,7,CT,Groton,280,True,True,0,0,0,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,President & CEO,True,2,3,3,18,A,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=3 (President & CEO at 280-bed system facility (7-facility)),False,True
220116,TUFTS MEDICAL CENTER,Wellforce,4,MA,Boston,415,True,True,1,1,0,H.4767 / S.1718,Upcoming,state,,GME housestaff coordinator,True,3,2,3,18,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=2 (H.4767 / S.1718 Upcoming (no date)) · Gravity=3 (GME housestaff coordinator at 415-bed system facility (4-facility)),False,True
210008,MERCY MEDICAL CENTER INC,Mercy Medical Center,1,MD,Baltimore,285,True,False,1,1,0,Davis Martinez Public Employee Safety & Health Act,Upcoming,state,2026-10-01,Chief Financial Officer,True,3,3,2,18,A,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Davis Martinez Public Employee Safety &  Upcoming ≤12mo (2026-10-01)) · Gravity=2 (Chief Financial Officer (beds=285, sys_facilities=1))",False,True
210009,"JOHNS HOPKINS HOSPITAL, THE",Johns Hopkins Health System,6,MD,Baltimore,1025,True,True,1,0,0,Davis Martinez Public Employee Safety & Health Act,Upcoming,state,2026-10-01,Director for Medical Staff Administ,True,2,3,3,18,A,"Acute=2 (higher-acuity (major teaching, behavioral health unit); proxy) · Event=3 (Davis Martinez Public Employee Safety &  Upcoming ≤12mo (2026-10-01)) · Gravity=3 (Director for Medical Staff Administ at 1025-bed system facility (6-facility))",False,True
340001,CAROLINAS MEDICAL CENTER-NORTHEAST,Advocate Health,58,NC,Concord,457,True,True,0,0,0,HB125 (SL 2023-129); GS §14-34.6,In force,state,2023-10-01,Sr. VP of Physician Services,True,2,3,3,18,A,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (HB125 (SL 2023-129); GS §14-34.6 In force) · Gravity=3 (Sr. VP of Physician Services at 457-bed system facility (58-facility)),False,True
340010,UNC HEALTH CARE WAYNE,UNC Health Care System,15,NC,Carrboro,316,True,True,0,0,0,HB125 (SL 2023-129); GS §14-34.6,In force,state,2023-10-01,Director,True,2,3,3,18,A,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (HB125 (SL 2023-129); GS §14-34.6 In force) · Gravity=3 (Director at 316-bed system facility (15-facility)),False,True
340014,NOVANT HEALTH FORSYTH MEDICAL CENTER,Novant Health,13,NC,Winston Salem,912,True,True,0,0,0,HB125 (SL 2023-129); GS §14-34.6,In force,state,2023-10-01,EVP/CFO,True,2,3,3,18,A,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (HB125 (SL 2023-129); GS §14-34.6 In force) · Gravity=3 (EVP/CFO at 912-bed system facility (13-facility)),False,True
380001,MID-COLUMBIA MEDICAL CENTER,Adventist Health,28,OR,The Dalles,49,True,False,0,0,1,ORS 654.412 (HB2022) + SB537 (2025),In force,state,2026-01-01,Service Area President,True,3,3,2,18,A,"Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (ORS 654.412 (HB2022) + SB537 (2025) In force) · Gravity=2 (Service Area President (beds=49, sys_facilities=28))",False,True
380004,PROVIDENCE ST VINCENT MEDICAL CENTER,Providence,54,OR,Portland,523,True,True,0,0,0,ORS 654.412 (HB2022) + SB537 (2025),In force,state,2026-01-01,CHIEF FIANCE OFFICER,True,2,3,3,18,A,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (ORS 654.412 (HB2022) + SB537 (2025) In force) · Gravity=3 (CHIEF FIANCE OFFICER at 523-bed system facility (54-facility)),False,True
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,Lawrence General Hospital,1,MA,Lawrence,189,True,False,0,1,0,H.4767 / S.1718,Upcoming,state,,CFO,True,3,2,2,12,A,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=2 (H.4767 / S.1718 Upcoming (no date)) · Gravity=2 (CFO (beds=189, sys_facilities=1))",False,True
220011,CAMBRIDGE HEALTH ALLIANCE,Cambridge Health Alliance,1,MA,Cambridge,159,True,True,0,1,1,H.4767 / S.1718,Upcoming,state,,Coordinator,True,3,2,2,12,A,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=2 (H.4767 / S.1718 Upcoming (no date)) · Gravity=2 (Coordinator (beds=159, sys_facilities=1))",False,True
030036,CHANDLER REGIONAL MEDICAL CENTER,CommonSpirit Health,145,AZ,Chandler,429,True,False,0,0,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,Chief Financial Officer,True,1,3,3,9,B,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (Chief Financial Officer at 429-bed system facility (145-facility)),False,True
030061,BANNER BOSWELL MEDICAL CENTER,Banner Health,33,AZ,Sun City,434,True,False,0,0,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,CFO,True,1,3,3,9,B,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (CFO at 434-bed system facility (33-facility)),False,True
030085,NORTHWEST MEDICAL CENTER,Community Health Systems,81,AZ,Tucson,300,True,False,0,0,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,Director/Delegated Official,True,1,3,3,9,B,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (Director/Delegated Official at 300-bed system facility (81-facility)),False,True
050006,PROVIDENCE ST JOSEPH HOSPITAL,Providence,54,CA,Chewelah,140,True,True,0,1,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,ASSISTANT SECRETARY FOR ENROLLMENT,True,3,3,1,9,B,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=1 (non-exec title: ASSISTANT SECRETARY FOR ENROLLMENT),False,True
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,Providence,54,CA,Napa,147,True,False,0,0,1,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,Assistant Secretary of Enrollments,True,3,3,1,9,B,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=1 (non-exec title: Assistant Secretary of Enrollments),False,True
050017,MERCY GENERAL HOSPITAL,CommonSpirit Health,145,CA,Sacramento,419,True,False,0,0,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,Chief Financial Officer,True,1,3,3,9,B,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=3 (Chief Financial Officer at 419-bed system facility (145-facility)),False,True
070003,DAY KIMBALL HOSPITAL,Day Kimball Healthcare,1,CT,Vernon,104,True,True,0,0,1,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,Nurse Practitioner,True,3,3,1,9,B,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=1 (non-exec title: Nurse Practitioner),False,True
140030,ADVOCATE SHERMAN HOSPITAL,Advocate Health,58,IL,Elgin,255,True,False,0,0,0,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,VP Managed Health,True,1,3,3,9,B,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=3 (VP Managed Health at 255-bed system facility (58-facility)),False,True
140063,RUSH OAK PARK HOSPITAL,Rush System for Health,3,IL,Oak Park,296,True,False,0,0,0,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,VP & General Counsel,True,1,3,3,9,B,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=3 (VP & General Counsel at 296-bed system facility (3-facility)),False,True
